period;selic;ipca;usd_brl
1980;;99.2798025449;
1981;;95.6548539438;
1982;;104.804061763;
1983;;163.999992395;
1984;;215.279193013;2978.36363636
1985;;242.248392436;6267.596
1986;16.2347525866;79.656431324;1885.57113147
1987;352.99731028;363.41351146;39.648052
1988;1057.68692988;980.221121927;265.571763052
1989;2407.07649733;1972.91228059;38.6173935743
1990;1153.21807136;1620.96647116;68.472555102
1991;536.890098297;472.685224129;409.251474104
1992;1549.37061361;1119.0924623;4551.27688
1993;3060.00640381;2477.14803158;19409.100128
1994;1153.59749706;916.432863618;559.495991968
1995;53.0800022387;22.4088801612;0.917747983871
1996;27.4060770756;9.56380556328;1.00522857143
1997;24.7688880304;5.22473181645;1.07866111111
1998;28.7859338992;1.65564416702;1.16106586345
1999;25.5895114222;8.93993450601;1.8157684
2000;17.4463783913;5.97433939326;1.8294992
2001;17.318085363;7.67326301515;2.3522164
2002;19.1607177071;12.5303370796;2.93093557312
2003;23.334331214;9.29994932924;3.07152608696
2004;16.2354411758;7.60064413806;2.9257265873
2005;19.0437219217;5.68973334586;2.434087251
2006;15.0806800631;3.1417749683;2.17710722892
2007;11.848107295;4.45733043324;1.9483076
2008;12.480984715;5.90231341753;1.83746732283
2009;9.92389791145;4.31202832969;1.9935492
2010;9.78245863567;5.90906834727;1.75930717131
2011;11.6158214116;6.50310904063;1.67463426295
2012;8.48227094089;5.83856899764;1.95499163347
2013;8.21335618423;5.91081808001;2.16050750988
2014;10.910092069;6.40761659639;2.35471581028
2015;13.2857836034;10.6734979956;3.338696
2016;14.0283876295;6.28805505422;3.48332709163
2017;9.95564231649;2.94734990835;3.19254538153
2018;6.42152120022;3.74548212183;3.6557844
2019;5.94594035773;4.30603998411;3.94611857708
2020;2.75381578211;4.51734150051;5.15777290837
2021;4.43568775893;10.0610548933;5.39556055777
2022;12.3804866338;5.78484195961;5.16548247012
2023;13.0282309095;4.62111393057;4.99534819277
2024;10.8881264348;4.83129579186;5.39201620553
2025;14.3327563931;4.26438490457;5.5855
2026;8.64853574859;3.43684656235;5.14660322581
