cd_cvm;cnpj;empresa;ano;roe;roa;endividamento;liquidez_corrente;margem_operacional;caixa;crescimento_receita;crescimento_ativos;receita;ativo_total;lucro_liquido;patrimonio_liquido
001023;00.000.000/0001-91;BCO BRASIL S.A.;2020;78.6811600379;0.784799271721;88.7516900129;56.8662347114;11.7342770459;16784560000;;;98659704000;1.693794003e+12;13292883000;16894620000
001023;00.000.000/0001-91;BCO BRASIL S.A.;2021;101.200950083;1.03840627238;88.5159867471;26.5418449893;19.0474959046;18023001000;27.6582149486;12.1352719183;125947217000;1.899340511e+12;19722871000;19488820000
001023;00.000.000/0001-91;BCO BRASIL S.A.;2022;135.940895681;1.48672207301;87.4603936448;24.8937911174;16.1918709198;18310546000;87.8160205795;5.70658422607;236549051000;2.007727977e+12;29849335000;21957583000
001023;00.000.000/0001-91;BCO BRASIL S.A.;2023;152.226257292;1.53980792041;87.6054598275;21.9145294616;15.5015850087;17327745000;12.21292323;7.27939624662;265438605000;2.153878452e+12;33165591000;21787037000
001023;00.000.000/0001-91;BCO BRASIL S.A.;2024;111.77267125;1.21613084335;88.0022095392;10.060536145;10.1316470409;20079736000;3.03899615506;11.3674355567;273505274000;2.398719197e+12;29171564000;26099013000
001023;00.000.000/0001-91;BCO BRASIL S.A.;2025;43.3755179164;0.6835421102;87.7472654342;13.3271664863;1.75721499662;19737849000;16.8029045027;2.35225765778;319462104000;2.455143253e+12;16781938000;38689885000
014206;00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;2020;1.99460534724;1.6605052226;0;;18.3013594828;2973131000;;;3373121000;25496999000;423379000;21226204000
014206;00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;2021;-59.3215625696;-1.28322335518;80.582808638;;-9.18198849868;0;2.46074777632;24.5313615143;3456125000;31751760000;-407446000;686843000
014206;00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;2022;12.7768610375;0.219777679822;85.9236000929;;-1.72577145843;266632000;77.2794386777;30.2632924915;6126999000;41360888000;90902000;711458000
014206;00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;2023;25.3562861955;0.379380692679;87.5983632301;;5.47857394935;190398000;-29.981088621;20.7907020758;4290058000;49960107000;189539000;747503000
014206;00.000.208/0001-00;BRB BANCO DE BRASILIA S.A.;2024;39.4915676052;0.497595273754;86.2544375267;;4.60190388621;179074000;107.674488317;25.108643182;8909356000;62504412000;311019000;787558000
002437;00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2020;8.6606114328;3.56900024317;58.7904356308;1.71180394019;29.6566020001;3859969000;;;29080513000;178966449000;6387313000;73751294000
002437;00.001.180/0001-26;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2021;7.47693660517;3.0342750282;59.4182057649;1.66412833163;34.6943093011;2737253000;29.3520544153;5.2169666729;37616241000;188303069000;5713633000;76416764000
002437;00.001.180/0001-26;AXIA ENERGIA S.A.;2022;3.2769762208;1.34646442649;58.9113763492;1.87675805446;22.6587785556;13837527000;-9.41616680944;43.5013584404;34074233000;270217462000;3638382000;111028636000
002437;00.001.180/0001-26;AXIA ENERGIA S.A.;2023;3.90777122808;1.64566000419;57.887503947;1.7635309123;36.9507575411;13494059000;9.05280832;-1.16935744145;37158908000;267057654000;4394861000;112464644000
002437;00.001.180/0001-26;AXIA ENERGIA S.A.;2024;8.5088295572;3.58115892317;57.9124379082;2.03763351488;55.3709423668;27081256000;8.13437251708;8.54260331366;40181552000;289871330000;10380753000;121999776000
002437;00.001.180/0001-26;AXIA ENERGIA S.A.;2025;5.53549981162;2.34536893003;57.6304035796;1.68151311882;9.56014878882;16417860000;2.73768419896;-3.51388217662;41281596000;279685593000;6559659000;118501657000
014451;00.070.698/0001-11;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2020;51.6613104654;12.1388432132;76.503028855;1.1664315457;51.46564359;136703000;;;255178000;3833792000;465378000;900825000
014451;00.070.698/0001-11;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2021;122.319156395;85.4740469075;30.1221088943;2.17216003552;547.732651681;714792000;34.4504620304;-60.4990046408;343088000;1514386000;1294407000;1058221000
014451;00.070.698/0001-11;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2022;21.031951405;17.9599214102;14.6064905518;4.62039511222;88.2569820959;739509000;-6.08327892552;-5.12148157735;322217000;1436827000;258053000;1226957000
014451;00.070.698/0001-11;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2023;18.5197763976;16.599334114;10.3696839655;6.96567588891;63.0531155427;682918000;9.42035957134;-1.45939629475;352571000;1415858000;235023000;1269038000
014451;00.070.698/0001-11;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2024;17.149298902;15.1906859575;11.4209505335;7.28192610192;63.1006167783;708612000;-0.624555054159;4.85797304532;350369000;1484640000;225527000;1315080000
014451;00.070.698/0001-11;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;2025;20.1791779971;17.3483320358;14.0285494373;6.6816590605;44.7534359851;424671000;45.6561510864;-8.63886194633;510334000;1356384000;235310000;1166103000
026190;00.080.671/0001-00;CARAMURU ALIMENTOS S.A.;2020;18.4035333244;4.56108104218;75.2162752566;1.28883383135;15.7051169573;858574000;;;6069525000;4863825000;221843000;1205437000
026190;00.080.671/0001-00;CARAMURU ALIMENTOS S.A.;2021;23.3615207332;5.40238218571;76.8748693743;1.36253057322;8.14938810637;2000811000;25.0880587855;34.6718477741;7592251000;6550203000;353867000;1514743000
026190;00.080.671/0001-00;CARAMURU ALIMENTOS S.A.;2022;19.1824267796;4.03292402835;78.9759446254;1.34908058058;5.25297065651;2668412000;13.6207957298;32.017633652;8626376000;8647423000;348744000;1818039000
026190;00.080.671/0001-00;CARAMURU ALIMENTOS S.A.;2023;11.9424409567;3.82028416924;68.010859898;1.59548890397;4.0814522929;1088465000;-11.9848474029;-27.3944156542;7592518000;6278512000;239857000;2008442000
026190;00.080.671/0001-00;CARAMURU ALIMENTOS S.A.;2024;12.1623814443;3.76786622604;69.0203251453;1.6198048063;9.59398878342;2536096000;-4.21090868668;15.0106426491;7272804000;7220957000;272076000;2237029000
026190;00.080.671/0001-00;CARAMURU ALIMENTOS S.A.;2025;20.7645122659;8.07525505783;61.1103070739;1.79785467531;6.65073363883;2017378000;12.1699003576;-2.11138218937;8157897000;7068495000;570799000;2748916000
